Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
04/08/2020,525,34,5,64,109,80,95,85,49,38,0,227,276,22,121,22,208,66,23,85,0,0,0,1,5,8,9,11,0,13,21,0,2,2,20,10,0,0
,52,0,1,6,17,9,10,6,2,1,0,18,28,6,12,1,5,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/23/2020,1009,33,30,162,160,164,157,147,90,96,3,459,461,89,338,13,188,83,26,361,0,1,1,4,2,8,7,10,0,7,26,0,12,2,14,5,0,0
04/05/2020,387,26,2,43,59,70,79,63,41,30,0,174,207,6,108,14,157,50,13,45,0,0,0,2,5,2,10,7,0,8,18,0,4,0,18,4,0,0
04/29/2020,1046,40,43,186,195,207,193,125,41,56,0,516,493,37,484,16,151,91,39,265,0,1,1,3,4,5,8,18,0,18,22,0,15,2,13,10,0,0
04/10/2020,761,30,11,100,139,153,161,104,51,42,0,351,394,16,226,20,227,92,24,172,0,0,1,2,3,3,9,12,0,10,20,0,3,2,22,3,0,0
05/13/2020,777,33,61,146,144,170,121,66,40,29,0,404,368,5,325,5,99,71,21,256,0,0,2,2,4,9,9,7,0,10,23,0,12,1,10,8,2,0
04/13/2020,405,31,11,46,68,64,98,54,36,28,0,206,198,1,114,12,146,54,20,59,0,0,1,5,3,8,6,8,0,14,17,0,11,1,16,3,0,0
04/17/2020,696,38,5,133,107,138,119,97,51,46,0,318,370,8,238,22,190,78,16,152,0,0,0,2,3,6,13,14,0,11,27,0,10,2,14,11,0,1
04/25/2020,804,38,33,148,146,137,155,107,42,35,1,382,401,21,297,11,136,103,41,216,0,0,2,1,6,6,11,12,0,13,25,0,12,2,17,6,0,1
05/03/2020,918,41,33,182,141,175,166,105,66,50,0,442,443,33,376,7,117,74,16,328,0,0,0,2,4,11,12,12,0,19,22,0,18,0,14,9,0,0
04/27/2020,780,32,28,140,123,156,117,104,46,65,1,367,351,62,266,15,139,71,22,267,0,0,0,1,4,4,12,11,0,11,20,1,8,1,15,7,1,0
04/01/2020,423,24,4,72,89,72,76,61,25,24,0,215,193,15,91,18,192,76,12,34,0,0,1,1,1,7,6,8,0,12,12,0,3,1,19,0,0,1
04/12/2020,448,32,26,69,84,72,72,56,35,34,0,224,208,16,104,15,116,63,16,134,0,0,1,2,3,10,6,10,0,15,17,0,4,1,20,7,0,0
04/22/2020,874,45,13,169,159,162,176,113,44,38,0,432,429,13,347,16,176,102,40,193,0,0,3,2,6,14,8,12,0,20,25,0,9,0,26,9,1,0
03/23/2020,173,2,5,24,40,32,25,22,21,4,0,88,85,0,23,10,80,48,5,7,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0
03/11/2020,5,0,1,0,1,1,1,0,1,0,0,1,4,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/14/2020,14,0,0,2,5,2,3,1,1,0,0,1,13,0,1,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2020,13,0,1,3,4,1,1,0,2,1,0,8,5,0,2,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/13/2020,11,0,2,2,2,2,2,1,0,0,0,6,5,0,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/18/2020,95,1,0,18,25,23,7,15,3,4,0,46,49,0,10,2,45,33,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
04/11/2020,710,33,23,95,114,131,160,101,53,32,1,300,405,5,171,33,239,102,20,145,0,0,1,1,6,8,10,7,0,16,17,0,8,1,21,3,0,0
04/03/2020,456,24,3,76,66,93,95,55,39,29,0,239,215,2,118,13,210,65,14,36,0,0,1,2,2,4,6,9,0,12,12,0,3,0,19,2,0,0
03/29/2020,274,21,2,33,57,45,40,40,40,16,1,133,141,0,49,5,153,49,5,13,0,1,0,1,4,4,6,5,0,4,17,0,2,2,15,2,0,0
04/21/2020,823,32,22,139,159,149,148,95,66,45,0,416,395,12,319,18,189,92,32,173,0,1,0,2,0,7,9,13,0,12,20,0,11,2,15,4,0,0
05/08/2020,876,37,54,161,180,184,130,93,34,39,1,425,398,53,365,5,98,71,57,280,0,0,0,0,4,11,10,12,0,18,18,1,11,0,14,12,0,0
04/26/2020,777,46,21,117,107,130,147,101,77,76,1,375,386,16,245,24,122,95,28,263,0,1,0,4,3,13,10,15,0,21,25,0,19,2,19,6,0,0
05/09/2020,623,41,35,108,124,107,117,72,37,23,0,312,296,15,223,5,106,48,19,222,0,0,0,1,6,6,10,18,0,18,23,0,19,2,10,9,1,0
05/04/2020,831,45,38,154,155,143,138,97,52,53,1,417,395,19,288,11,123,77,28,304,0,1,0,0,4,8,14,18,0,23,22,0,16,2,17,9,0,1
04/28/2020,845,51,31,175,140,151,144,96,54,53,1,422,404,19,342,20,156,87,50,190,0,0,0,3,4,9,8,27,0,21,30,0,10,5,22,11,0,3
04/15/2020,612,32,22,89,103,95,128,80,43,52,0,307,299,6,178,26,189,77,30,112,0,1,1,3,2,5,6,14,0,9,23,0,9,3,15,5,0,0
04/20/2020,615,36,12,100,99,122,105,84,47,45,1,285,325,5,209,17,166,89,19,115,0,0,1,1,3,4,9,18,0,13,23,0,11,2,12,9,1,1
04/18/2020,579,38,16,84,100,106,112,91,46,24,0,298,280,1,199,9,155,78,33,105,0,0,0,3,5,8,12,10,0,19,19,0,12,5,19,2,0,0
04/24/2020,1065,50,28,154,159,197,174,159,85,108,1,550,469,46,386,24,204,88,28,335,0,1,2,0,5,13,12,17,0,18,32,0,13,2,20,13,2,0
05/01/2020,1038,36,50,203,170,181,184,133,60,56,1,493,519,26,441,14,148,82,36,317,0,1,0,1,4,9,8,13,0,13,23,0,12,1,15,6,0,2
04/09/2020,781,26,7,103,114,141,167,130,69,50,0,356,384,41,193,18,303,113,26,128,0,0,0,0,3,7,5,11,0,13,13,0,5,1,15,5,0,0
04/14/2020,635,33,11,82,110,112,136,79,57,48,0,313,316,6,195,16,199,94,20,111,0,1,2,1,3,5,8,13,0,10,23,0,9,1,12,10,0,1
03/19/2020,124,2,3,21,29,19,22,21,7,2,0,58,66,0,11,4,58,47,1,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
04/04/2020,408,21,4,50,55,72,85,70,47,25,0,212,194,2,91,19,185,63,12,38,0,0,0,3,4,4,4,6,0,13,8,0,3,0,13,4,1,0
04/30/2020,1307,34,71,244,254,263,200,134,71,70,0,600,673,34,516,13,184,125,74,395,0,0,2,0,3,6,11,12,0,16,18,0,10,0,17,6,0,1
05/06/2020,964,44,53,193,178,183,160,103,48,45,1,468,453,43,372,15,120,73,30,354,0,0,1,3,6,10,10,14,0,14,30,0,12,5,13,13,0,1
03/25/2020,235,5,1,34,45,38,45,31,28,13,0,99,136,0,27,7,123,57,9,12,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0
05/12/2020,790,36,59,132,154,160,109,88,55,30,3,400,362,28,324,5,105,61,27,268,0,0,2,2,3,7,7,15,0,12,24,0,12,2,14,7,0,1
05/07/2020,1077,43,64,196,196,233,189,110,48,39,2,500,524,53,471,5,112,82,28,379,0,0,1,2,6,13,8,13,0,18,25,0,12,3,18,8,1,1
05/10/2020,562,32,33,112,109,123,87,50,25,23,0,262,281,19,207,6,73,41,30,205,0,0,1,2,1,9,8,11,0,12,20,0,7,1,13,10,1,0
04/06/2020,430,22,6,47,62,65,88,78,48,36,0,207,220,3,80,16,182,80,14,58,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0
03/26/2020,319,2,4,41,64,65,64,41,31,9,0,154,164,1,45,8,149,81,8,28,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0
05/11/2020,693,28,32,143,137,136,107,82,32,23,1,345,334,14,330,8,98,53,31,173,0,0,0,3,4,2,5,14,0,14,14,0,7,0,12,8,1,0
04/16/2020,639,30,12,108,112,127,121,77,47,35,0,309,328,2,228,14,169,66,37,125,0,0,0,2,2,6,8,12,0,13,17,0,5,3,15,7,0,0
03/30/2020,381,12,3,50,57,81,77,54,33,26,0,186,193,2,66,12,200,60,18,25,0,0,1,1,2,2,5,1,0,4,8,0,2,1,6,1,0,2
04/02/2020,413,14,3,53,70,73,84,61,37,32,0,214,186,13,87,15,192,77,9,33,0,0,0,1,2,1,6,4,0,5,9,0,2,2,8,2,0,0
03/24/2020,218,2,2,28,40,37,45,33,20,13,0,102,116,0,21,12,98,72,8,7,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0
03/20/2020,143,0,3,27,32,23,27,17,10,4,0,67,74,2,13,9,60,46,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/27/2020,292,8,2,39,42,53,81,35,27,13,0,143,148,1,43,13,143,64,11,18,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0
03/15/2020,25,0,0,5,2,8,3,4,3,0,0,11,13,1,2,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/21/2020,111,2,1,16,15,25,21,15,14,4,0,49,62,0,12,5,59,28,1,6,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0
03/22/2020,116,2,2,15,18,27,21,16,14,3,0,56,60,0,20,4,60,26,2,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0
